race_index,year,race,driverId,F2_champion,Former_F1_World_Champion,Nationality,home_race,constructorId,engine_manufacturer,constructor_nationality,starting_grid_position,points_in_previous_race,fastest_lap_from_last_race,laps_in_previous_race,race_win,new_index,constructorId_points_at_stage_of_season,driver_points_at_stage_of_season
1,1995,Brazilian Grand Prix,57,0,0,Finnish,0,1,Mercedes,British,7,,,,0,58,4.0,3.0
1,1995,Brazilian Grand Prix,87,0,0,British,0,1,Mercedes,British,9,,,,0,88,4.0,1.0
1,1995,Brazilian Grand Prix,71,0,1,British,0,3,Renault,British,1,,,,0,72,6.0,0.0
1,1995,Brazilian Grand Prix,14,0,0,British,0,3,Renault,British,3,,,,0,15,6.0,6.0
1,1995,Brazilian Grand Prix,77,0,0,Austrian,0,6,Ferrari,Italian,5,,,,0,78,6.0,4.0
1,1995,Brazilian Grand Prix,55,0,0,French,0,6,Ferrari,Italian,6,,,,0,56,6.0,2.0
1,1995,Brazilian Grand Prix,49,0,0,German,0,15,Ford,Swiss,14,,,,0,50,0.0,0.0
1,1995,Brazilian Grand Prix,91,0,0,Austrian,0,15,Ford,Swiss,19,,,,0,92,0.0,0.0
1,1995,Brazilian Grand Prix,56,0,0,British,0,17,Peugeot,Irish,8,,,,0,57,0.0,0.0
1,1995,Brazilian Grand Prix,22,0,0,Brazilian,1,17,Peugeot,Irish,16,,,,0,23,0.0,0.0
1,1995,Brazilian Grand Prix,94,0,0,Italian,0,18,Ford,Italian,17,,,,0,95,0.0,0.0
1,1995,Brazilian Grand Prix,69,0,0,Italian,0,18,Ford,Italian,18,,,,0,70,0.0,0.0
1,1995,Brazilian Grand Prix,30,0,1,German,0,22,Renault,Italian,2,,,,1,31,10.0,10.0
1,1995,Brazilian Grand Prix,65,0,0,British,0,22,Renault,Italian,4,,,,0,66,10.0,0.0
1,1995,Brazilian Grand Prix,79,0,0,Japanese,0,25,Yamaha,British,11,,,,0,80,0.0,0.0
1,1995,Brazilian Grand Prix,63,0,0,Finnish,0,25,Yamaha,British,12,,,,0,64,0.0,0.0
1,1995,Brazilian Grand Prix,44,0,0,French,0,27,Mugen-Honda,French,10,,,,0,45,0.0,0.0
1,1995,Brazilian Grand Prix,88,0,0,Japanese,0,27,Mugen-Honda,French,15,,,,0,89,0.0,0.0
1,1995,Brazilian Grand Prix,90,0,0,Brazilian,1,28,Ford,Italian,23,,,,0,91,0.0,0.0
1,1995,Brazilian Grand Prix,64,0,0,Brazilian,1,28,Ford,Italian,25,,,,0,65,0.0,0.0
1,1995,Brazilian Grand Prix,81,0,0,Italian,0,29,Hart,British,13,,,,0,82,0.0,0.0
1,1995,Brazilian Grand Prix,89,0,0,Japanese,0,29,Hart,British,21,,,,0,90,0.0,0.0
1,1995,Brazilian Grand Prix,92,0,0,Belgian,0,30,Renault,British,20,,,,0,93,0.0,0.0
1,1995,Brazilian Grand Prix,85,0,0,Italian,0,30,Renault,British,22,,,,0,86,0.0,0.0
1,1995,Brazilian Grand Prix,93,0,0,Italian,0,31,Ford,British,26,,,,0,94,0.0,0.0
1,1995,Brazilian Grand Prix,50,0,0,Dutch,0,31,Ford,British,24,,,,0,51,0.0,0.0
2,1995,Argentine Grand Prix,87,0,0,British,0,1,Mercedes,British,17,1.0,83003,70.0,0,89,4.0,1.0
2,1995,Argentine Grand Prix,57,0,0,Finnish,0,1,Mercedes,British,5,3.0,Not Found,70.0,0,59,4.0,3.0
2,1995,Argentine Grand Prix,14,0,0,British,0,3,Renault,British,1,6.0,82005,71.0,0,16,16.0,6.0
2,1995,Argentine Grand Prix,71,0,1,British,0,3,Renault,British,2,0.0,81000,30.0,1,73,16.0,10.0
2,1995,Argentine Grand Prix,55,0,0,French,0,6,Ferrari,Italian,6,2.0,83002,70.0,0,57,13.0,8.0
2,1995,Argentine Grand Prix,77,0,0,Austrian,0,6,Ferrari,Italian,8,4.0,83007,70.0,0,79,13.0,5.0
2,1995,Argentine Grand Prix,91,0,0,Austrian,0,15,Ford,Swiss,21,0.0,84004,41.0,0,93,2.0,0.0
2,1995,Argentine Grand Prix,49,0,0,German,0,15,Ford,Swiss,9,0.0,84001,10.0,0,51,2.0,2.0
2,1995,Argentine Grand Prix,22,0,0,Brazilian,0,17,Peugeot,Irish,10,0.0,83003,16.0,0,24,0.0,0.0
2,1995,Argentine Grand Prix,56,0,0,British,0,17,Peugeot,Irish,4,0.0,83004,15.0,0,58,0.0,0.0
2,1995,Argentine Grand Prix,69,0,0,Italian,0,18,Ford,Italian,13,0.0,86003,47.0,0,71,0.0,0.0
2,1995,Argentine Grand Prix,94,0,0,Italian,0,18,Ford,Italian,16,0.0,Not Found,0.0,0,96,0.0,0.0
2,1995,Argentine Grand Prix,30,0,1,German,0,22,Renault,Italian,3,10.0,81009,71.0,0,32,17.0,14.0
2,1995,Argentine Grand Prix,65,0,0,British,0,22,Renault,Italian,11,0.0,83000,30.0,0,67,17.0,3.0
2,1995,Argentine Grand Prix,63,0,0,Finnish,0,25,Yamaha,British,7,0.0,83000,69.0,0,65,0.0,0.0
2,1995,Argentine Grand Prix,79,0,0,Japanese,0,25,Yamaha,British,15,0.0,84007,15.0,0,81,0.0,0.0
2,1995,Argentine Grand Prix,88,0,0,Japanese,0,27,Mugen-Honda,French,19,0.0,83000,69.0,0,90,0.0,0.0
2,1995,Argentine Grand Prix,44,0,0,French,0,27,Mugen-Honda,French,18,0.0,Not Found,0.0,0,46,0.0,0.0
2,1995,Argentine Grand Prix,64,0,0,Brazilian,0,28,Ford,Italian,25,0.0,89008,64.0,0,66,0.0,0.0
2,1995,Argentine Grand Prix,90,0,0,Brazilian,0,28,Ford,Italian,24,0.0,88008,47.0,0,92,0.0,0.0
2,1995,Argentine Grand Prix,89,0,0,Japanese,0,29,Hart,British,26,0.0,86005,48.0,0,91,0.0,0.0
2,1995,Argentine Grand Prix,81,0,0,Italian,0,29,Hart,British,12,0.0,83008,62.0,0,83,0.0,0.0
2,1995,Argentine Grand Prix,92,0,0,Belgian,0,30,Renault,British,23,0.0,87008,23.0,0,94,0.0,0.0
2,1995,Argentine Grand Prix,85,0,0,Italian,0,30,Renault,British,22,0.0,87004,65.0,0,87,0.0,0.0
2,1995,Argentine Grand Prix,50,0,0,Dutch,0,31,Ford,British,14,0.0,86000,16.0,0,52,0.0,0.0
2,1995,Argentine Grand Prix,93,0,0,Italian,0,31,Ford,British,20,0.0,88005,12.0,0,95,0.0,0.0
3,1995,San Marino Grand Prix,57,0,0,Finnish,0,1,Mercedes,British,6,0.0,Not Found,0.0,0,60,6.0,5.0
3,1995,San Marino Grand Prix,95,0,0,British,0,1,Mercedes,British,9,,,,0,98,6.0,0.0
3,1995,San Marino Grand Prix,71,0,1,British,0,3,Renault,British,4,10.0,91003,72.0,1,74,29.0,20.0
3,1995,San Marino Grand Prix,14,0,0,British,0,3,Renault,British,3,0.0,92001,16.0,0,17,29.0,9.0
3,1995,San Marino Grand Prix,55,0,0,French,0,6,Ferrari,Italian,5,6.0,91005,72.0,0,58,23.0,14.0
3,1995,San Marino Grand Prix,77,0,0,Austrian,0,6,Ferrari,Italian,2,1.0,92009,70.0,0,80,23.0,9.0
3,1995,San Marino Grand Prix,91,0,0,Austrian,0,15,Ford,Swiss,21,0.0,Not Found,0.0,0,94,3.0,0.0
3,1995,San Marino Grand Prix,49,0,0,German,0,15,Ford,Swiss,14,2.0,94003,70.0,0,52,3.0,3.0
3,1995,San Marino Grand Prix,22,0,0,Brazilian,0,17,Peugeot,Irish,10,0.0,94008,33.0,0,25,0.0,0.0
3,1995,San Marino Grand Prix,56,0,0,British,0,17,Peugeot,Irish,7,0.0,95001,6.0,0,59,0.0,0.0
3,1995,San Marino Grand Prix,69,0,0,Italian,0,18,Ford,Italian,20,0.0,Not Found,0.0,0,72,0.0,0.0
3,1995,San Marino Grand Prix,94,0,0,Italian,0,18,Ford,Italian,18,0.0,96008,44.0,0,97,0.0,0.0
3,1995,San Marino Grand Prix,30,0,1,German,0,22,Renault,Italian,1,4.0,91005,72.0,0,33,17.0,14.0
3,1995,San Marino Grand Prix,65,0,0,British,0,22,Renault,Italian,8,3.0,93001,71.0,0,68,17.0,3.0
3,1995,San Marino Grand Prix,63,0,0,Finnish,0,25,Yamaha,British,13,0.0,94006,48.0,0,66,0.0,0.0
3,1995,San Marino Grand Prix,79,0,0,Japanese,0,25,Yamaha,British,15,0.0,94001,69.0,0,82,0.0,0.0
3,1995,San Marino Grand Prix,44,0,0,French,0,27,Mugen-Honda,French,12,0.0,94000,70.0,0,47,0.0,0.0
3,1995,San Marino Grand Prix,88,0,0,Japanese,0,27,Mugen-Honda,French,16,0.0,94000,47.0,0,91,0.0,0.0
3,1995,San Marino Grand Prix,90,0,0,Brazilian,0,28,Ford,Italian,25,0.0,101007,63.0,0,93,0.0,0.0
3,1995,San Marino Grand Prix,64,0,0,Brazilian,0,28,Ford,Italian,26,0.0,101007,63.0,0,67,0.0,0.0
3,1995,San Marino Grand Prix,89,0,0,Japanese,0,29,Hart,British,19,0.0,95003,40.0,0,92,0.0,0.0
3,1995,San Marino Grand Prix,81,0,0,Italian,0,29,Hart,British,11,0.0,94004,43.0,0,84,0.0,0.0
3,1995,San Marino Grand Prix,92,0,0,Belgian,0,30,Renault,British,22,0.0,Not Found,0.0,0,95,0.0,0.0
3,1995,San Marino Grand Prix,85,0,0,Italian,0,30,Renault,British,24,0.0,Not Found,1.0,0,88,0.0,0.0
3,1995,San Marino Grand Prix,93,0,0,Italian,0,31,Ford,British,23,0.0,96009,68.0,0,96,0.0,0.0
3,1995,San Marino Grand Prix,50,0,0,Dutch,0,31,Ford,British,17,0.0,95004,23.0,0,53,0.0,0.0
4,1995,Spanish Grand Prix,95,0,0,British,0,1,Mercedes,British,10,0.0,91003,61.0,0,99,6.0,0.0
4,1995,Spanish Grand Prix,57,0,0,Finnish,0,1,Mercedes,British,9,2.0,Not Found,62.0,0,61,6.0,5.0
4,1995,Spanish Grand Prix,14,0,0,British,0,3,Renault,British,4,3.0,90000,63.0,0,18,32.0,9.0
4,1995,Spanish Grand Prix,71,0,1,British,0,3,Renault,British,5,10.0,90007,63.0,0,75,32.0,23.0
4,1995,Spanish Grand Prix,55,0,0,French,0,6,Ferrari,Italian,2,6.0,90000,63.0,0,59,27.0,14.0
4,1995,Spanish Grand Prix,77,0,0,Austrian,0,6,Ferrari,Italian,3,4.0,90006,63.0,0,81,27.0,13.0
4,1995,Spanish Grand Prix,49,0,0,German,0,15,Ford,Swiss,12,1.0,92008,62.0,0,53,3.0,3.0
4,1995,Spanish Grand Prix,91,0,0,Austrian,0,15,Ford,Swiss,20,0.0,94006,43.0,0,95,3.0,0.0
4,1995,Spanish Grand Prix,56,0,0,British,0,17,Peugeot,Irish,6,0.0,91009,61.0,0,60,2.0,2.0
4,1995,Spanish Grand Prix,22,0,0,Brazilian,0,17,Peugeot,Irish,8,0.0,94005,31.0,0,26,2.0,0.0
4,1995,Spanish Grand Prix,69,0,0,Italian,0,18,Ford,Italian,21,0.0,94008,59.0,0,73,0.0,0.0
4,1995,Spanish Grand Prix,94,0,0,Italian,0,18,Ford,Italian,19,0.0,93005,59.0,0,98,0.0,0.0
4,1995,Spanish Grand Prix,65,0,0,British,0,22,Renault,Italian,7,0.0,90001,61.0,0,69,33.0,9.0
