race_index,year,F2_champion,Former_F1_World_Champion,Nationality,home_race,constructorId,engine_manufacturer,constructor_nationality,starting_grid_position,points_in_previous_race,fastest_lap_from_last_race,laps_in_previous_race,race_win,constructorId_points_at_stage_of_season,driver_points_at_stage_of_season
1,1995,0,0,Finnish,0,1,Mercedes,British,7,,,,0,4.0,3.0
1,1995,0,0,British,0,1,Mercedes,British,9,,,,0,4.0,1.0
1,1995,0,1,British,0,3,Renault,British,1,,,,0,6.0,0.0
1,1995,0,0,British,0,3,Renault,British,3,,,,0,6.0,6.0
1,1995,0,0,Austrian,0,6,Ferrari,Italian,5,,,,0,6.0,4.0
1,1995,0,0,French,0,6,Ferrari,Italian,6,,,,0,6.0,2.0
1,1995,0,0,German,0,15,Ford,Swiss,14,,,,0,0.0,0.0
1,1995,0,0,Austrian,0,15,Ford,Swiss,19,,,,0,0.0,0.0
1,1995,0,0,British,0,17,Peugeot,Irish,8,,,,0,0.0,0.0
1,1995,0,0,Brazilian,1,17,Peugeot,Irish,16,,,,0,0.0,0.0
1,1995,0,0,Italian,0,18,Ford,Italian,17,,,,0,0.0,0.0
1,1995,0,0,Italian,0,18,Ford,Italian,18,,,,0,0.0,0.0
1,1995,0,1,German,0,22,Renault,Italian,2,,,,1,10.0,10.0
1,1995,0,0,British,0,22,Renault,Italian,4,,,,0,10.0,0.0
1,1995,0,0,Japanese,0,25,Yamaha,British,11,,,,0,0.0,0.0
1,1995,0,0,Finnish,0,25,Yamaha,British,12,,,,0,0.0,0.0
1,1995,0,0,French,0,27,Mugen-Honda,French,10,,,,0,0.0,0.0
1,1995,0,0,Japanese,0,27,Mugen-Honda,French,15,,,,0,0.0,0.0
1,1995,0,0,Brazilian,1,28,Ford,Italian,23,,,,0,0.0,0.0
1,1995,0,0,Brazilian,1,28,Ford,Italian,25,,,,0,0.0,0.0
1,1995,0,0,Italian,0,29,Hart,British,13,,,,0,0.0,0.0
1,1995,0,0,Japanese,0,29,Hart,British,21,,,,0,0.0,0.0
1,1995,0,0,Belgian,0,30,Renault,British,20,,,,0,0.0,0.0
1,1995,0,0,Italian,0,30,Renault,British,22,,,,0,0.0,0.0
1,1995,0,0,Italian,0,31,Ford,British,26,,,,0,0.0,0.0
1,1995,0,0,Dutch,0,31,Ford,British,24,,,,0,0.0,0.0
2,1995,0,0,British,0,1,Mercedes,British,17,1.0,83003,70.0,0,4.0,1.0
2,1995,0,0,Finnish,0,1,Mercedes,British,5,3.0,Not Found,70.0,0,4.0,3.0
2,1995,0,0,British,0,3,Renault,British,1,6.0,82005,71.0,0,16.0,6.0
2,1995,0,1,British,0,3,Renault,British,2,0.0,81000,30.0,1,16.0,10.0
2,1995,0,0,French,0,6,Ferrari,Italian,6,2.0,83002,70.0,0,13.0,8.0
2,1995,0,0,Austrian,0,6,Ferrari,Italian,8,4.0,83007,70.0,0,13.0,5.0
2,1995,0,0,Austrian,0,15,Ford,Swiss,21,0.0,84004,41.0,0,2.0,0.0
2,1995,0,0,German,0,15,Ford,Swiss,9,0.0,84001,10.0,0,2.0,2.0
2,1995,0,0,Brazilian,0,17,Peugeot,Irish,10,0.0,83003,16.0,0,0.0,0.0
2,1995,0,0,British,0,17,Peugeot,Irish,4,0.0,83004,15.0,0,0.0,0.0
2,1995,0,0,Italian,0,18,Ford,Italian,13,0.0,86003,47.0,0,0.0,0.0
2,1995,0,0,Italian,0,18,Ford,Italian,16,0.0,Not Found,0.0,0,0.0,0.0
2,1995,0,1,German,0,22,Renault,Italian,3,10.0,81009,71.0,0,17.0,14.0
2,1995,0,0,British,0,22,Renault,Italian,11,0.0,83000,30.0,0,17.0,3.0
2,1995,0,0,Finnish,0,25,Yamaha,British,7,0.0,83000,69.0,0,0.0,0.0
2,1995,0,0,Japanese,0,25,Yamaha,British,15,0.0,84007,15.0,0,0.0,0.0
2,1995,0,0,Japanese,0,27,Mugen-Honda,French,19,0.0,83000,69.0,0,0.0,0.0
2,1995,0,0,French,0,27,Mugen-Honda,French,18,0.0,Not Found,0.0,0,0.0,0.0
2,1995,0,0,Brazilian,0,28,Ford,Italian,25,0.0,89008,64.0,0,0.0,0.0
2,1995,0,0,Brazilian,0,28,Ford,Italian,24,0.0,88008,47.0,0,0.0,0.0
2,1995,0,0,Japanese,0,29,Hart,British,26,0.0,86005,48.0,0,0.0,0.0
2,1995,0,0,Italian,0,29,Hart,British,12,0.0,83008,62.0,0,0.0,0.0
2,1995,0,0,Belgian,0,30,Renault,British,23,0.0,87008,23.0,0,0.0,0.0
